Artist ID,Name,Nationality,Gender,Birth Year,Death Year
1,Robert Arneson,American,Male,1930,1992
11,Jean (Hans) Arp,French,Male,1886,1966
13,J. Arrelano Fischer,Mexican,Male,1911,1995
15,Folke Arstrom,Swedish,Male,1907,1997
16,Cristobal Arteche,Spanish,Male,1900,1964
19,Richard Artschwager,American,Male,1923,2013
21,Ruth Asawa,American,Female,1926,2013
23,Charles Robert Ashbee,British,Male,1863,1942
25,E. M. Ashe,American,Male,1867,1941
27,Erik Gunnar Asplund,Swedish,Male,1885,1940
31,Dana Atchley,American,Female,1941,2000
34,Alvar Aalto,Finnish,Male,1898,1976
35,Aino Aalto,Finnish,Female,1894,1949
37,Jules Aarons,American,Male,1921,2008
39,James Abbe,American,Male,1883,1973
40,Jussuff Abbo,British,Male,1888,1953
41,Berenice Abbott,American,Female,1898,1991
42,Nobuya Abe,Japanese,Male,1913,1971
47,Raimund Abraham,American,Male,1933,2010
50,Gerald Abramovitz,British,Male,1928,2011
51,William Ross Abrams,American,Male,1920,2007
56,Luis Alberto Acuña,Colombian,Male,1904,1994
57,Henri Georges Adam,French,Male,1904,1967
58,Antoine Samuel Adam-Salomon,French,Male,1818,1881
60,Ansel Adams,American,Male,1902,1984
62,Clinton Adams,American,Male,1918,2002
63,Dacres Adams,British,Male,1864,1951
65,Kenneth M. Adams,American,Male,1897,1966
68,Charles Addams,American,Male,1912,1988
69,Allan Adler,American,Male,1916,2002
70,Jankel Adler,Polish,Male,1895,1949
71,Virginia Admiral,American,Female,1915,2000
74,Roy Adzak,British,Male,1927,1987
77,Afro (Afro Basaldella),Italian,Male,1912,1976
80,Mehemed Fehmy Agha,American,Male,1896,1978
82,Peter Agostini,American,Male,1913,1993
83,Olympe Aguado de las Marismas,French,Male,1827,1894
84,Dongkuk S. Ahn,American,Male,1937,2013
85,Aarne Aho,Finnish,Male,1904,1978
86,Otl Aicher (also known as Otto Aicher),German,Male,1922,1991
87,Lucien Aigner,American,Male,1901,1999
88,Gregory Ain,American,Male,1908,1988
89,Edgar Ainsworth,British,Male,1906,1975
91,Roberto Aizenberg,Argentine,Male,1928,1996
95,Alastair (Hans H. Voight),German,Male,1887,1969
96,Anni Albers,American,Female,1899,1994
97,Josef Albers,American,Male,1888,1976
99,Joan Albert,American,Female,1943,2012
100,Ivan Le Lorraine Albright,American,Male,1897,1983
103,Albert Alcalay,American,Male,1917,2008
104,L. (Alfred Lewin Copley) Alcopley,American,Male,1910,1992
115,Yves Alix,French,Male,1890,1969
116,Wobbe Alkema,Dutch,Male,1900,1984
118,Alexander Alland,American,Male,1902,1989
121,Adrian Allinson,British,Male,1890,1959
124,Glen Alps,American,Male,1914,1996
127,Gerhard Altenbourg,German,Male,1926,1989
129,Harold Altman,American,Male,1924,2003
132,John Altoon,American,Male,1925,1969
135,Manuel Álvarez Bravo,Mexican,Male,1902,2002
138,Edmond-François Aman Jean,French,Male,1858,1936
143,Irving Amen,American,Male,1918,2011
148,Florencia de Amesti,Chilean,Female,1925,2006
149,Cuno Amiet,Swiss,Male,1868,1961
150,Francisco Amighetti Ruiz,Costa Rican,Male,1907,1998
154,Mauricio Amster Cats,Chilean,Male,1907,1980
159,Gunnar Aagaard Andersen,Danish,Male,1919,1982
161,Clarence William Anderson,American,Male,1891,1971
162,Carl Anderson,American,Male,1903,1989
164,Jeremy Anderson,American,Male,1921,1982
165,James Anderson,British,Male,1813,1877
169,Paul L. Anderson,American,Male,1880,1956
173,Farnese de Andrade-Neto,Brazilian,Male,1926,1996
178,Laura Andreson,American,Female,1902,1999
180,Benny Andrews,American,Male,1930,2006
181,Emmy Andriesse,Dutch,Female,1914,1953
183,Manuel Angeles Ortiz,Spanish,Male,1895,1984
184,Ludwig Angerer,Austrian,Male,1827,1879
186,Raúl Anguiano,Mexican,Male,1915,2006
188,Sibyl Anikeef,American,Female,1896,1996
189,James Craig Annan,British,Male,1864,1946
190,Thomas Annan,British,Male,1829,1887
196,Stephen Antonakos,American,Male,1926,2013
199,Nemesio Antúnez,Chilean,Male,1918,1993
203,Karel Appel,Dutch,Male,1921,2006
207,Shusaku Arakawa,American,Male,1936,2010
208,Diane Arbus,American,Female,1923,1971
209,Aleksandr Archipenko,American,Male,1887,1964
211,Mordecai Ardon,Israeli,Male,1896,1992
212,Luis Arenal,Mexican,Male,1909,1985
214,Egmont Arens,American,Male,1888,1966
216,Avigdor Arikha,Romanian,Male,1929,2010
217,Gonzalo Ariza,Colombian,Male,1912,1995
220,Arman,American,Male,1928,2005
224,Kenneth Armitage,British,Male,1916,2002
225,John Taylor Arms,American,Male,1887,1953
226,John Armstrong,British,Male,1893,1973
227,François Arnal,French,Male,1924,2012
229,Eugène Atget,French,Male,1857,1927
230,John Atherton,American,Male,1900,1952
231,Anna Atkins,British,Female,1797,1871
233,Lawrence Atkinson,British,Male,1873,1931
235,Jean-Michel Atlan,French,Male,1913,1960
238,Carl Auböck,Austrian,Male,1924,1993
239,Charles Aubry,French,Male,1811,1877
241,Gae Aulenti,Italian,Female,1930,2012
243,George Ault,American,Male,1891,1948
244,Darrel Austin,American,Male,1907,1994
246,Mario Avati,Italian,Male,1921,2009
247,Edward Avedisian,American,Male,1936,2007
248,Richard Avedon,American,Male,1923,2004
249,Frances Avery,American,Female,1910,2006
250,Milton Avery,American,Male,1885,1965
254,Kiyoshi Awazu,Japanese,Male,1929,2009
257,Pierre Ayot,Canadian,Male,1943,1995
258,Michael Ayrton,British,Male,1921,1975
260,Umetaro Azechi,Japanese,Male,1902,1999
262,Johannes Baader,German,Male,1875,1955
263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),German,Male,1892,1927
264,Kurt W. Baasch,American,Male,1891,1964
265,Alice Baber,American,Female,1928,1982
268,Edmondo Bacci,Italian,Male,1913,1978
272,Francis Bacon,British,Male,1909,1992
273,Peggy Bacon,American,Female,1895,1987
277,Aquiles Badi,Argentine,Male,1894,1976
278,Libero Badii,Argentine,Male,1916,2001
282,Martin Baer,American,Male,1894,1961
283,Olle Baertling,Swedish,Male,1911,1981
285,John Bageris,American,Male,1924,2000
287,Malcolm Bailey,American,Male,1947,2011
290,Larry Bair,American,Male,1952,1990
291,Eugenie Baizerman,American,Female,1899,1949
292,Enrico Baj,Italian,Male,1924,2003
298,Vagrich Bakhchanyan,Russian,Male,1938,2009
300,Léon Bakst,Russian,Male,1866,1924
301,Gerard Baksteen,Dutch,Male,1887,1976
302,Amèrico Balán,Argentine,Male,1915,1986
303,Jirí Balcar,Czech,Male,1929,1968
305,George Baldessin,Australian,Male,1939,1978
307,C. Leroy Baldridge,American,Male,1889,1975
308,Édouard-Denis Baldus,French,Male,1813,1882
309,Benjamin Baldwin,American,Male,1913,1993
310,Joost Baljeu,Dutch,Male,1925,1991
311,Giacomo Balla,Italian,Male,1871,1958
313,R. Maxil Ballinger,American,Male,1914,1958
314,Theo H. Ballmer,Swiss,Male,1902,1965
316,John F. Balossi,American,Male,1931,2007
317,Balthus (Baltusz Klossowski de Rola),French,Male,1908,2001
318,Lewis Baltz,American,Male,1945,2014
322,Walter Darby Bannard,American,Male,1934,2016
323,John Banting,British,Male,1902,1972
324,Rudolf Baranik,American,Male,1920,1998
325,Vladimir Baranoff-Rossiné,Ukrainian,Male,1888,1944
331,J. Baric,French,Male,1825,1905
332,Richard Baringer,American,Male,1921,1980
334,Walter William Barker,American,Male,1921,2004
335,Ernst Barlach,German,Male,1870,1938
336,George Barnard,American,Male,1819,1902
338,Matthew Rackham Barnes,American,Male,1880,1951
342,Will Barnet,American,Male,1911,2012
344,Hannelore Baron,American,Female,1926,1987
348,Maurice Barraud,Swiss,Male,1889,1955
351,D. F. Barry,American,Male,1854,1934
355,Ruodi Barth,Swiss,Male,1921,1999
356,"Ralph Bartholomew, Jr.",American,Male,1907,1985
358,Robert Bartlett,British,Male,1922,1979
360,Luigi Bartolini,Italian,Male,1892,1963
363,Héctor Basaldua,Argentine,Male,1895,1976
364,Bernard Baschet,French,Male,1917,2015
365,François Baschet,French,Male,1920,2014
369,Leonard Baskin,American,Male,1922,2000
370,Jean-Michel Basquiat,American,Male,1960,1988
372,Saul Bass,American,Male,1920,1996
377,Josef Bato,Hungarian,Male,1888,1966
378,John Battan,American,Male,1943,1976
380,Dora M. Batty,British,Female,1900,1966
381,Eugen Batz,German,Male,1905,1986
383,André Bauchant,French,Male,1873,1958
384,Karl Bauer,German,Male,1868,1942
385,Rudolph Bauer,American,Male,1889,1954
391,Otto Baumberger,Swiss,Male,1889,1961
392,Willi Baumeister,German,Male,1889,1955
395,Edward Bawden,British,Male,1903,1989
398,Hippolyte Bayard,French,Male,1801,1887
399,Herbert Bayer,American,Male,1900,1985
404,Jean Bazaine,French,Male,1904,2001
405,Castera Bazile,Haitian,Male,1923,1966
406,William Baziotes,American,Male,1912,1963
407,Gifford Beal,American,Male,1879,1956
408,Jack Beal,American,Male,1931,2013
409,Lester Beall,American,Male,1903,1969
412,Romare Bearden,American,Male,1911,1988
413,Aubrey Beardsley,British,Male,1872,1898
416,Felice Beato,Italian,Male,1825,1903
417,Cecil Beaton,British,Male,1904,1980
419,Robert Beauchamp,American,Male,1923,1995
420,André Beaudin,French,Male,1895,1975
422,Bernd Becher,German,Male,1931,2007
423,Thelma Becherer,American,Female,1916,2008
425,Gustav K. Beck,Austrian,Male,1902,1983
427,Fred Becker,American,Male,1913,2004
429,Max Beckmann,German,Male,1884,1950
430,Francis Bedford,British,Male,1816,1894
431,René Beeh,German,Male,1886,1922
432,Jan Bontjes van Beek,German,Male,1899,1969
433,Chris Hendrik Beekman,Dutch,Male,1887,1964
434,Max Beerbohm,British,Male,1872,1956
438,Peter Behrens,German,Male,1868,1940
439,Edith Behring,Brazilian,Female,1916,1996
441,J. J. Beljon,Dutch,Male,1922,2002
442,Alistair Macready Bell,Canadian,Male,1913,1997
443,Charles M. Bell,American,Male,1848,1893
445,Vanessa Bell,British,Female,1879,1961
446,William H. Bell,American,Male,1830,1910
447,Ross Bellah,American,Male,1907,2004
449,John Bellany,British,Male,1942,2013
450,Rudolf Belling,German,Male,1886,1972
452,Hans Bellmer,German,Male,1902,1975
453,Ernest J. Bellocq,American,Male,1873,1949
455,George Bellows,American,Male,1882,1925
459,Antoli Pawlowitsch Belski,Russian,Male,1896,1971
462,Ahron Ben-Shmuel,American,Male,1903,1984
463,Ben-Zion,American,Male,1897,1987
465,W. T. Benda,American,Male,1873,1948
469,Luis Fernando Benedit,Argentine,Male,1937,2011
470,G. A. Beneker,American,Male,1882,1934
475,Gordon Bennett,American,Male,1933,2012
476,Henry Hamilton Bennett,American,Male,1843,1908
478,Ward Bennett,American,Male,1917,2003
479,Alexander Benois,Russian,Male,1870,1960
482,Nicholas Bentley,British,Male,1907,1978
483,Thomas Hart Benton,American,Male,1889,1975
484,Roloff Beny,Canadian,Male,1924,1984
485,Etienne (Istvan) Béothy,Hungarian,Male,1897,1962
486,Christian Bérard,French,Male,1902,1949
487,Roberto Berdecio,Bolivian,Male,1913,1996
488,Vera Berdich,American,Female,1915,2003
493,Jason Berger,American,Male,1924,2010
495,Hagbard Elis Bergh,Swedish,Male,1881,1954
497,Ella Bergmann-Michel,German,Female,1896,1971
501,Henryk Berlewi,Polish,Male,1894,1967
502,Eugene Berman,American,Male,1899,1972
503,Mieczyslaw Berman,Polish,Male,1903,1975
504,Sarah Berman,American,Female,1895,1957
505,Wallace Berman,American,Male,1926,1976
507,Cundo Bermúdez,Cuban,Male,1914,2008
508,José Ygnacio Bermudez,Cuban,Male,1922,1988
510,Camille Bernabé,French,Male,1808,1900
511,Émile Bernard,French,Male,1868,1941
512,Francis Bernard,French,Male,1900,1979
513,Valère Bernard,French,Male,1860,1936
514,Jerry Berndt,American,Male,1943,2013
515,Lucian Bernhard,American,Male,1883,1972
516,Ruth Bernhard,American,Female,1905,2006
517,Antonio Berni,Argentine,Male,1905,1981
520,Richard Bernstein,American,Male,1939,2002
521,Jean Berque,French,Male,1896,1954
522,Miguel Ortiz Berrocal,Spanish,Male,1933,2006
526,Berthold-Mahn (Charles Désiré),French,Male,1893,1975
527,René Bertholo,Portuguese,Male,1935,2005
528,Paul Berthon,French,Male,1872,1909
529,Jake Berthot,American,Male,1939,2014
531,Harry Bertoia,American,Male,1915,1978
533,Albert Besnard,French,Male,1849,1934
534,Forrest Bess,American,Male,1911,1977
538,Pierre Betz,French,Male,1899,1969
539,Wim Beuning,Dutch,Male,1914,1986
