Artwork ID,Title,Artist ID,Name,Date,Medium,Dimensions,Acquisition Date,Credit,Catalogue,Department,Classification,Object Number,Height (cm),Width (cm)
33599,Study for Head Bath,1,Robert Arneson,1977,Conté crayon and pencil on paper,"41 5/8 x 29 7/8"" (105.8 x 75.8 cm)",4/28/81,Gift of the Friends of Contemporary Drawing,Y,Drawings,Drawing,67.1981,105.7,75.9
64139,General Nuke,1,Robert Arneson,1986,Lithograph,"composition (irreg.): 31 11/16 x 23 5/16"" (80.5 x 59.2 cm); sheet: 36 1/4 x 27 15/16"" (92 x 71 cm)",5/28/97,Gift of Landfall Press,Y,Prints & Illustrated Books,Print,192.1997,80.5,59.2
5659,Collages 1912 - 1955,11,Jean (Hans) Arp,1955,Lithograph,"26 1/2 x 18 3/4"" (67.3 x 47.6 cm)",4/4/56,Purchase,Y,Architecture & Design,Design,201.1956,67.3,47.6
6069,"Bildhauser Zeichen, Institut Francais Innsbruck",11,Jean (Hans) Arp,1952,Lithograph after woodcut,"18 1/2 x 26 1/2"" (47 x 67.3 cm)",4/7/53,Gift of the artist,Y,Architecture & Design,Design,284.1953,46.9901,67.3101
9170,Composition with Seven Elements from 23 Gravures,11,Jean (Hans) Arp,-1935,Etching,"plate: 10 1/2 x 8 3/16"" (26.7 x 20.8 cm); sheet: 12 15/16 x 9 13/16"" (32.8 x 25 cm)",1/3/45,Purchase Fund,Y,Prints & Illustrated Books,Illustrated Book,14.1945.1,26.7,20.8
10137,Unbound plate from LE SIÈGE DE L'AIR,11,Jean (Hans) Arp,1946,"Woodcut, printed in black","irreg. composition  8 1/16 x 6 1/4"" (20.5 x 15.9 cm)",3/19/56,Curt Valentin Bequest,N,Prints & Illustrated Books,Illustrated Book,30.1956.1,20.5,15.9
10138,LE SIÈGE DE L'AIR,11,Jean (Hans) Arp,1946,"1 woodcut, printed in black, 8 line block reproductions after drawings by Arp and Taeuber-Arp, and 1 added gouache and pencil drawing","irreg. page  8 11/16 x 6 5/16"" (22 x 16 cm)",3/19/56,Curt Valentin Bequest,N,Prints & Illustrated Books,Illustrated Book,30.1956.1-2,22,16
10383,SOUFFLE,11,Jean (Hans) Arp,1950.  (Print executed 1918).,"1 woodcut, printed in black","irreg. composition  2 3/16 x 3 3/4"" (5.5 x 9.5 cm)
page  5 9/16 x 4 3/16"" (14 x 10.6 cm)",3/19/56,Curt Valentin Bequest,N,Prints & Illustrated Books,Illustrated Book,32.1956,5.5,9.5
10411,AUCH DAS IST NUR EINE WOLKE: Aus den Jahren 1920 bis 1950,11,Jean (Hans) Arp,-1951,4 line block reproductions after cut-outs with watercolor additions,"irreg. page  10 5/8 x 7 5/8"" (27 x 19.4 cm)",3/19/56,Curt Valentin Bequest,N,Prints & Illustrated Books,Illustrated Book,33.1956.1-4,27,19.4
11419,"I, RUE GABRIELLE",11,Jean (Hans) Arp,1958.  (Prints executed 1919).,"12 etchings, printed in black","page  10 7/8 x 11 13/16"" (27 x 30 cm)
Prints:  various dimensions.",5/26/60,Gift of the artist,N,Prints & Illustrated Books,Illustrated Book,129.1960.1-12,27,30
12336,Front cover from Phantastische Gebete,11,Jean (Hans) Arp,-1916,One woodcut from an illustrated book with seven woodcuts,"composition (irreg.): 5 13/16 x 3 9/16"" (14.7 x 9 cm); page: 9 1/16 x 5 11/16"" (23 x 14.4 cm)",5/9/75,Gift of Frank Perls (by exchange),N,Prints & Illustrated Books,Illustrated Book,158.1975.1,14.7,9
12337,Phantastiche Gebete,11,Jean (Hans) Arp,16-Sep,Illustrated book with seven woodcuts,"cover (closed): 9 1/16 x 5 11/16"" (23 x 14.4 cm); page: 9 1/16 x 5 11/16"" (23 x 14.4 cm)",5/9/75,Gift of Frank Perls (by exchange),Y,Prints & Illustrated Books,Illustrated Book,158.1975.1-7,23,14.4
12338,Plate (folio 1 verso) from Phantastische Gebete,11,Jean (Hans) Arp,-1916,One woodcut from an illustrated book with seven woodcuts,"composition (irreg.): 6 3/4 x 3 7/16"" (17.2 x 8.8 cm); page: 9 1/16 x 5 11/16"" (23 x 14.4 cm)",5/9/75,Gift of Frank Perls (by exchange),N,Prints & Illustrated Books,Illustrated Book,158.1975.2,17.2,8.8
12339,Headpiece (folio 2) from Phantastische Gebete,11,Jean (Hans) Arp,-1916,One woodcut from an illustrated book with seven woodcuts,"composition (irreg.): 1 7/16 x 1 3/4"" (3.7 x 4.5 cm); page: 9 1/16 x 5 11/16"" (23 x 14.4 cm)",5/9/75,Gift of Frank Perls (by exchange),N,Prints & Illustrated Books,Illustrated Book,158.1975.3,3.7,4.5
12340,In-text plate (folio 3 verso) from Phantastische Gebete,11,Jean (Hans) Arp,-1916,One woodcut from an illustrated book with seven woodcuts,"page: 9 1/16 x 5 11/16"" (23 x 14.4 cm); composition (irreg.): 2 1/2 x 2 1/8"" (6.4 x 5.4 cm)",5/9/75,Gift of Frank Perls (by exchange),N,Prints & Illustrated Books,Illustrated Book,158.1975.4,23,14.4
12341,Plate (folio 5) from Phantastische Gebete,11,Jean (Hans) Arp,-1916,One woodcut from an illustrated book with seven woodcuts,"composition (irreg.): 6 11/16 x 3 9/16"" (17 x 9 cm); page: 9 1/16 x 5 11/16"" (23 x 14.4 cm)",5/9/75,Gift of Frank Perls (by exchange),N,Prints & Illustrated Books,Illustrated Book,158.1975.5,17,9
12342,Plate (folio 7) from Phantastische Gebete,11,Jean (Hans) Arp,-1916,One woodcut from an illustrated book with seven woodcuts,"composition (irreg.): 6 11/16 x 3 9/16"" (17 x 9 cm); page: 9 1/16 x 5 11/16"" (23 x 14.4 cm)",5/9/75,Gift of Frank Perls (by exchange),N,Prints & Illustrated Books,Illustrated Book,158.1975.6,17,9
12343,Tailpiece (back cover) from Phantastische Gebete,11,Jean (Hans) Arp,-1916,One woodcut from an illustrated book with seven woodcuts,"composition (irreg.): 1 15/16 x 1 13/16"" (5 x 4.6 cm); page: 9 1/16 x 5 11/16"" (23 x 14.4 cm)",5/9/75,Gift of Frank Perls (by exchange),N,Prints & Illustrated Books,Illustrated Book,158.1975.7,5,4.6
13390,"Composition (plate, page 39) from Feuilles éparses",11,Jean (Hans) Arp,"(1965, executed 1959)",Woodcut,"composition  8 1/16 x 6 11/16"" (20.5 x 17 cm)",5/12/70,Donald Karshan Fund,Y,Prints & Illustrated Books,Illustrated Book,202.1970.5,20.5,17
14475,VERS LE BLANC INFINI,11,Jean (Hans) Arp,1960,"8 soft ground etchings, printed in black","page  14 7/8 x 11 1/16"" (37 x 28.1 cm)
Prints: various dimensions.",5/7/63,Given anonymously,N,Prints & Illustrated Books,Illustrated Book,280.1963.1-8,37,28.1
14579,"THE NAVEL MOUNTAIN AND THE MOUNTAINS (plate, folio 6) from ELEMENTE",11,Jean (Hans) Arp,1920-1950,"Woodcut, printed in black","irreg. composition  8 5/16 x 6 3/16"" (21.1 x 15.7 cm)",10/11/50,Abby Aldrich Rockefeller Fund,N,Prints & Illustrated Books,Illustrated Book,286.1950.1,21.1,15.7
14580,ELEMENTE,11,Jean (Hans) Arp,1950.  (Reproduced drawings executed 1920).,"10 woodcuts cut by Karl Schmid after Arp designs, printed in black and in color","page  11 5/8 x 8 1/4"" (29 x 21 cm)
Prints: various dimensions.",10/11/50,Abby Aldrich Rockefeller Fund,N,Prints & Illustrated Books,Illustrated Book,286.1950.1-10,29,21
14581,"WHERE IS ABOVE, WHERE IS BELOW? (plate, folio 15) from ELEMENTE",11,Jean (Hans) Arp,1920-1950,"Woodcut, printed in color","irreg. composition  5 9/16 x 4 1/4"" (14.2 x 10.8 cm)",10/11/50,Abby Aldrich Rockefeller Fund,N,Prints & Illustrated Books,Illustrated Book,286.1950.10,14.2,10.8
14582,"THE LEAF TURNS INTO A TORSO (plate, folio 7) from ELEMENTE",11,Jean (Hans) Arp,1920-1950,"Woodcut, printed in color","irreg. composition  8 1/4 x 5 1/2"" (21 x 14 cm)",10/11/50,Abby Aldrich Rockefeller Fund,N,Prints & Illustrated Books,Illustrated Book,286.1950.2,21,14
14583,"THE TORSO TURNS INTO A VASE (plate, folio 8) from ELEMENTE",11,Jean (Hans) Arp,1920-1950,"Woodcut, printed in black","irreg. composition  7 15/16 x 5 7/16"" (20.2 x 13.8 cm)",10/11/50,Abby Aldrich Rockefeller Fund,N,Prints & Illustrated Books,Illustrated Book,286.1950.3,20.2,13.8
14584,"AN EARTHLY LETTER (plate, folio 9) from ELEMENTE",11,Jean (Hans) Arp,1920-1950,"Woodcut, printed in black","irreg. composition  5 1/4 x 5 1/2"" (13.3 x 13.9 cm)",10/11/50,Abby Aldrich Rockefeller Fund,N,Prints & Illustrated Books,Illustrated Book,286.1950.4,13.3,13.9
14585,"THE NAVEL (plate, folio 10) from ELEMENTE",11,Jean (Hans) Arp,1920-1950,"Woodcut, printed in color","irreg. composition  11 9/16 x 7 15/16"" (29.4 x 20.3 cm)",10/11/50,Abby Aldrich Rockefeller Fund,N,Prints & Illustrated Books,Illustrated Book,286.1950.5,29.4,20.3
14586,"FROM A NAVEL BEGOTTEN (plate, folio 11) from ELEMENTE",11,Jean (Hans) Arp,1920-1950,"Woodcut, printed in black","irreg. composition  10 1/2 x 5 9/16"" (26.7 x 14.1 cm)",10/11/50,Abby Aldrich Rockefeller Fund,N,Prints & Illustrated Books,Illustrated Book,286.1950.6,26.7,14.1
14587,"I DREAM OF THE FLYING SKULL (plate, folio 12) from ELEMENTE",11,Jean (Hans) Arp,1920-1950,"Woodcut, printed in black","irreg. composition  4 7/16 x 6 1/8"" (11.3 x 15.6 cm)",10/11/50,Abby Aldrich Rockefeller Fund,N,Prints & Illustrated Books,Illustrated Book,286.1950.7,11.3,15.6
14588,"THE CELESTIAL WINDOW (plate, folio 13) from ELEMENTE",11,Jean (Hans) Arp,1920-1950,"Woodcut, printed in color","irreg. composition  7 11/16 x 5 3/4"" (19.6 x 14.7 cm)",10/11/50,Abby Aldrich Rockefeller Fund,N,Prints & Illustrated Books,Illustrated Book,286.1950.8,19.6,14.7
14589,"I DREAM OF THE NAVEL GATE AND THE TWO BIRDS THAT FORM THE GATE (plate, folio 14) from ELEMENTE",11,Jean (Hans) Arp,1920-1950,"Woodcut, printed in black","irreg. composition  7 5/8 x 7 3/16"" (19.4 x 18.2 cm)",10/11/50,Abby Aldrich Rockefeller Fund,N,Prints & Illustrated Books,Illustrated Book,286.1950.9,19.4,18.2
15045,Frontispiece from LE VOILIER DANS LA FORÊT,11,Jean (Hans) Arp,1957,"Woodcut, printed in color","composition  5 3/8 x 4 5/8"" (13.7 x 11.7 cm)",12/19/58,Gift of the artist,N,Prints & Illustrated Books,Illustrated Book,305.1958.1,13.7,11.7
15046,LE VOILIER DANS LA FORÊT,11,Jean (Hans) Arp,1957,"7 woodcuts (including wrapper front), printed in color","page  6 1/2 x 5 5/16"" (16 x 13.5 cm)
Prints:  various dimensions.",12/19/58,Gift of the artist,N,Prints & Illustrated Books,Illustrated Book,305.1958.1-7,16,13.5
15047,Plate (page 19) from LE VOILIER DANS LA FORÊT,11,Jean (Hans) Arp,1957,"Woodcut, printed in color","composition  5 7/16 x 4 5/8"" (13.8 x 11.7 cm)",12/19/58,Gift of the artist,N,Prints & Illustrated Books,Illustrated Book,305.1958.2,13.8,11.7
15048,Plate (page 23) from LE VOILIER DANS LA FORÊT,11,Jean (Hans) Arp,1957,"Woodcut, printed in color","composition  5 7/16 x 4 5/8"" (13.8 x 11.7 cm)",12/19/58,Gift of the artist,N,Prints & Illustrated Books,Illustrated Book,305.1958.3,13.8,11.7
15049,Plate (page 31) from LE VOILIER DANS LA FORÊT,11,Jean (Hans) Arp,1957,"Woodcut, printed in color","composition  5 3/8 x 4 5/8"" (13.7 x 11.7 cm)",12/19/58,Gift of the artist,N,Prints & Illustrated Books,Illustrated Book,305.1958.4,13.7,11.7
15050,Plate (page 35) from LE VOILIER DANS LA FORÊT,11,Jean (Hans) Arp,1957,"Woodcut, printed in color","composition  5 3/8 x 4 5/8"" (13.7 x 11.7 cm)",12/19/58,Gift of the artist,N,Prints & Illustrated Books,Illustrated Book,305.1958.5,13.7,11.7
15051,Plate (page 39) from LE VOILIER DANS LA FORÊT,11,Jean (Hans) Arp,1957,"Woodcut, printed in color","composition  5 3/8 x 4 5/8"" (13.7 x 11.7 cm)",12/19/58,Gift of the artist,N,Prints & Illustrated Books,Illustrated Book,305.1958.6,13.7,11.7
15052,Wrapper front from LE VOILIER DANS LA FORÊT,11,Jean (Hans) Arp,1957,"Woodcut, printed in color","irreg. composition  5 15/16 x 5"" (15.2 x 12.8 cm)",12/19/58,Gift of the artist,N,Prints & Illustrated Books,Illustrated Book,305.1958.7,15.2,12.8
16022,Before the Battle of Hastings from Le Surréalisme en 1947,11,Jean (Hans) Arp,1947,"Woodcut from an illustrated book with eighteen lithographs, four etchings (two with aquatint), one photogravure, two woodcuts, one ready-made object (folder front), and reproductions.","composition (irreg.): 9 3/8 x 8 1/16"" (23.8 x 20.5 cm)",12/19/47,Henry Church Fund,Y,Prints & Illustrated Books,Illustrated Book,343.1947.11,23.8,20.5
16023,After the Battle of Hastings from Le Surréalisme en 1947,11,Jean (Hans) Arp,1947,"Woodcut from an illustrated book with eighteen lithographs, four etchings (two with aquatint), one photogravure, two woodcuts, one ready-made object (folder front), and reproductions.","composition (irreg.): 9 3/8 x 8 1/16"" (23.8 x 20.5 cm)",12/19/47,Henry Church Fund,Y,Prints & Illustrated Books,Illustrated Book,343.1947.12,23.8,20.5
16421,"Siamese Leaf from Onze Peintres: Taeuber, Kandinsky, Leuppi, Vordemberge, Arp, Delaunay, Schwitters, Kiesler, Morris, Magnelli, Ernst",11,Jean (Hans) Arp,1949,Woodcut,"composition (irreg.): 9 1/4 x 7 15/16"" (23.5 x 20.2 cm)",5/24/51,Abby Aldrich Rockefeller Fund,Y,Prints & Illustrated Books,Illustrated Book,375.1951.1,23.5,20.2
18408,Cover from Vingt-cinq poèmes,11,Jean (Hans) Arp,1918,Woodcut,"irreg. composition  2 3/8 x 2 1/16"" (6.1 x 5.3 cm)
sheet  5 9/16 x 2 3/16"" (14 x 5.5 cm)",9/29/49,Purchase,N,Prints & Illustrated Books,Illustrated Book,558.1949.1,6.1,5.3
18409,Vingt-cinq poèmes,11,Jean (Hans) Arp,1918,Illustrated book with twelve woodcuts,"book (closed): 7 7/8 x 5 7/8 x 1/4"" (20 x 14.9 x 0.6 cm); page (each): 7 11/16 x 5 1/4"" (19.6 x 13.4 cm)",9/29/49,Purchase,Y,Prints & Illustrated Books,Illustrated Book,558.1949.1-12,20,14.9
19631,Plate (folio 4) from 10 ORIGIN,11,Jean (Hans) Arp,1942,"Woodcut, printed in black","irreg. composition  10 3/8 x 8 1/4"" (26.4 x 21 cm)",9/29/49,Purchase,N,Prints & Illustrated Books,Illustrated Book,616.1949.1,26.4,21
20134,"Frontispiece from CINÉMA CALENDRIER DU COEUR ABSTRAIT, MAISONS",11,Jean (Hans) Arp,-1920,Woodcut from an illustrated book with nineteen woodcuts,"composition (irreg.): 9 5/8 x 7 5/16"" (24.5 x 18.5 cm); page: 9 15/16 x 8 1/8"" (25.2 x 20.6 cm)",10/6/64,The Louis E. Stern Collection,N,Prints & Illustrated Books,Illustrated Book,667.1964.1,24.5,18.5
20135,"Cinéma calendrier du coeur abstrait, Maisons (Cinema Calendar of the Abstract Heart, Houses)",11,Jean (Hans) Arp,1920,Illustrated book with nineteen woodcuts,"book (closed): 10 3/16 x 8 1/4 x 1/4"" (25.8 x 21 x 0.7 cm); page (each): 9 15/16 x 8 1/8"" (25.2 x 20.6 cm)",10/6/64,The Louis E. Stern Collection,Y,Prints & Illustrated Books,Illustrated Book,667.1964.1-19,25.8,21
20163,Configuration I  from the illustrated book 11 Configurations,11,Jean (Hans) Arp,(Print executed 1943),Woodcut,"composition (irreg.): 10 1/2 x 7 11/16"" (26.6 x 19.5 cm); page: 10 1/4 x 10 1/8"" (26 x 25.7 cm)",10/6/64,The Louis E. Stern Collection,N,Prints & Illustrated Books,Illustrated Book,668.1964.1,26.6,19.5
